standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Thẻ chân trắng,26/30,6X11,8+3,Treated,Cooked,DDP Atlanta,Ring,5.48,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Treated,Cooked,DDP LA,Ring,5.38,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Treated,Cooked,DDP New York,Ring,5.41,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Treated,Cooked,DDP Atlanta,Ring,5.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Treated,Cooked,DDP LA,Ring,5.47,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Treated,Cooked,DDP New York,Ring,5.5,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Treated,Cooked,FOB Toronto,Ring,5.34,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Treated,Cooked,FOB Vancouver,Ring,5.26,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Chemical free,Cooked,FOB Toronto,Ring,6.04,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Chemical free,Cooked,FOB Vancouver,Ring,5.96,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Chemical free,Cooked,DDP Atlanta,Ring,5.96,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Chemical free,Cooked,DDP LA,Ring,5.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Chemical free,Cooked,DDP New York,Ring,5.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Chemical free,Cooked,DDP Atlanta,Ring,6.19,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Chemical free,Cooked,DDP LA,Ring,6.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X11,8+3,Chemical free,Cooked,DDP New York,Ring,6.12,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Chemical free,Cooked,FOB Toronto,Ring,5.81,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X11,8+3,Chemical free,Cooked,FOB Vancouver,Ring,5.73,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Treated,Cooked,FOB Toronto,Ring,7.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Treated,Cooked,FOB Vancouver,Ring,7.37,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Treated,Cooked,DDP Atlanta,Ring,7.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Treated,Cooked,DDP LA,Ring,7.4,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Treated,Cooked,DDP New York,Ring,7.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Treated,Cooked,DDP Atlanta,Ring,7.7,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Treated,Cooked,DDP LA,Ring,7.53,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Treated,Cooked,DDP New York,Ring,7.58,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Treated,Cooked,FOB Toronto,Ring,7.38,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Treated,Cooked,FOB Vancouver,Ring,7.24,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Chemical free,Cooked,FOB Toronto,Ring,8.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Chemical free,Cooked,FOB Vancouver,Ring,8.29,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Chemical free,Cooked,DDP Atlanta,Ring,8.3,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Chemical free,Cooked,DDP LA,Ring,8.13,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Chemical free,Cooked,DDP New York,Ring,8.18,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Chemical free,Cooked,DDP Atlanta,Ring,8.64,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Chemical free,Cooked,DDP LA,Ring,8.47,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,10X16,12+4,Chemical free,Cooked,DDP New York,Ring,8.52,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Chemical free,Cooked,FOB Toronto,Ring,8.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,10X16,12+4,Chemical free,Cooked,FOB Vancouver,Ring,7.95,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Treated,Cooked,FOB Toronto,Ring,9.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Treated,Cooked,FOB Vancouver,Ring,9.64,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Treated,Cooked,DDP Atlanta,Ring,9.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Treated,Cooked,DDP LA,Ring,9.68,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Treated,Cooked,DDP New York,Ring,9.74,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Treated,Cooked,DDP Atlanta,Ring,10.07,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Treated,Cooked,DDP LA,Ring,9.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Treated,Cooked,DDP New York,Ring,9.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Treated,Cooked,FOB Toronto,Ring,9.65,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Treated,Cooked,FOB Vancouver,Ring,9.47,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Chemical free,Cooked,FOB Toronto,Ring,11.04,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Chemical free,Cooked,FOB Vancouver,Ring,10.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Chemical free,Cooked,DDP Atlanta,Ring,10.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Chemical free,Cooked,DDP LA,Ring,10.65,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Chemical free,Cooked,DDP New York,Ring,10.71,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Chemical free,Cooked,DDP Atlanta,Ring,11.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Chemical free,Cooked,DDP LA,Ring,11.11,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,8X20,16+4,Chemical free,Cooked,DDP New York,Ring,11.17,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Chemical free,Cooked,FOB Toronto,Ring,10.59,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,8X20,16+4,Chemical free,Cooked,FOB Vancouver,Ring,10.41,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X20,16+4,Treated,Cooked,FOB Toronto,Ring,9.85,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X20,16+4,Treated,Cooked,FOB Vancouver,Ring,9.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X20,16+4,Treated,Cooked,DDP Atlanta,Ring,9.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X20,16+4,Treated,Cooked,DDP Atlanta,Ring,10.1,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X20,16+4,Treated,Cooked,FOB Toronto,Ring,9.68,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X20,16+4,Treated,Cooked,FOB Vancouver,Ring,9.5,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X20,16+4,Chemical free,Cooked,FOB Toronto,Ring,11.07,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X20,16+4,Chemical free,Cooked,FOB Vancouver,Ring,10.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X20,16+4,Chemical free,Cooked,DDP Atlanta,Ring,10.89,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,26/30,6X20,16+4,Chemical free,Cooked,DDP Atlanta,Ring,11.35,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X20,16+4,Chemical free,Cooked,FOB Toronto,Ring,10.62,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,26/30,6X20,16+4,Chemical free,Cooked,FOB Vancouver,Ring,10.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Treated,Cooked,FOB Toronto,Ring,14.36,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Treated,Cooked,FOB Vancouver,Ring,14.03,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Treated,Cooked,DDP Atlanta,Ring,14.73,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Treated,Cooked,DDP LA,Ring,14.33,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Treated,Cooked,DDP New York,Ring,14.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Treated,Cooked,DDP Atlanta,Ring,15.15,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Treated,Cooked,DDP LA,Ring,14.75,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Treated,Cooked,DDP New York,Ring,14.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Treated,Cooked,FOB Toronto,Ring,14.77,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Treated,Cooked,FOB Vancouver,Ring,14.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Chemical free,Cooked,FOB Toronto,Ring,15.56,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Chemical free,Cooked,FOB Vancouver,Ring,15.23,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Chemical free,Cooked,DDP Atlanta,Ring,15.96,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Chemical free,Cooked,DDP LA,Ring,15.56,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X36,28+8,Chemical free,Cooked,DDP New York,Ring,15.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Chemical free,Cooked,DDP Atlanta,Ring,16.49,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Chemical free,Cooked,DDP LA,Ring,16.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Chemical free,Cooked,DDP New York,Ring,16.2,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Chemical free,Cooked,FOB Toronto,Ring,16.08,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X36,28+8,Chemical free,Cooked,FOB Vancouver,Ring,15.75,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Treated,Cooked,FOB Toronto,Ring,32.68,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Treated,Cooked,FOB Vancouver,Ring,32.27,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Treated,Cooked,DDP Atlanta,Ring,33.5,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Treated,Cooked,DDP LA,Ring,32.9,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Treated,Cooked,DDP New York,Ring,33.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Treated,Cooked,DDP Atlanta,Ring,34.46,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Treated,Cooked,DDP LA,Ring,33.86,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Treated,Cooked,DDP New York,Ring,34.02,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Treated,Cooked,FOB Toronto,Ring,33.62,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Treated,Cooked,FOB Vancouver,Ring,33.21,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Chemical free,Cooked,FOB Toronto,Ring,35.41,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Chemical free,Cooked,FOB Vancouver,Ring,35.0,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Chemical free,Cooked,DDP Atlanta,Ring,36.31,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Chemical free,Cooked,DDP LA,Ring,35.71,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X80,64+16,Chemical free,Cooked,DDP New York,Ring,35.87,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Chemical free,Cooked,DDP Atlanta,Ring,37.53,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Chemical free,Cooked,DDP LA,Ring,36.93,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Chemical free,Cooked,DDP New York,Ring,37.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Chemical free,Cooked,FOB Toronto,Ring,36.6,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X80,64+16,Chemical free,Cooked,FOB Vancouver,Ring,36.19,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X26,20+6,Treated,Cooked,FOB Toronto,Ring,10.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X26,20+6,Treated,Cooked,DDP LA,Ring,10.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,12X26,20+6,Treated,Cooked,DDP LA,Ring,10.36,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,12X26,20+6,Treated,Cooked,FOB Toronto,Ring,10.35,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X26,20+6,Chemical free,Cooked,FOB Toronto,Ring,10.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X26,20+6,Chemical free,Cooked,DDP LA,Ring,10.94,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,12X26,20+6,Chemical free,Cooked,DDP LA,Ring,11.32,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,12X26,20+6,Chemical free,Cooked,FOB Toronto,Ring,11.29,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Treated,Cooked,FOB Toronto,Ring,16.1,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Treated,Cooked,FOB Vancouver,Ring,15.71,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Treated,Cooked,DDP Atlanta,Ring,16.51,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Treated,Cooked,DDP LA,Ring,16.04,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Treated,Cooked,DDP New York,Ring,16.17,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Treated,Cooked,DDP Atlanta,Ring,16.99,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Treated,Cooked,DDP LA,Ring,16.52,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Treated,Cooked,DDP New York,Ring,16.65,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Treated,Cooked,FOB Toronto,Ring,16.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Treated,Cooked,FOB Vancouver,Ring,16.18,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Chemical free,Cooked,FOB Toronto,Ring,17.46,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Chemical free,Cooked,FOB Vancouver,Ring,17.07,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Chemical free,Cooked,DDP Atlanta,Ring,17.91,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Chemical free,Cooked,DDP LA,Ring,17.44,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,4X40,32+8,Chemical free,Cooked,DDP New York,Ring,17.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Chemical free,Cooked,DDP Atlanta,Ring,18.52,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Chemical free,Cooked,DDP LA,Ring,18.05,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Chemical free,Cooked,DDP New York,Ring,18.18,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Chemical free,Cooked,FOB Toronto,Ring,18.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,4X40,32+8,Chemical free,Cooked,FOB Vancouver,Ring,17.67,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Treated,Cooked,FOB Toronto,Ring,10.0,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Treated,Cooked,FOB Vancouver,Ring,9.78,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Treated,Cooked,DDP Atlanta,Ring,10.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Treated,Cooked,DDP LA,Ring,10.0,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Treated,Cooked,DDP New York,Ring,10.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Treated,Cooked,DDP Atlanta,Ring,10.54,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Treated,Cooked,DDP LA,Ring,10.29,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Treated,Cooked,DDP New York,Ring,10.35,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Treated,Cooked,FOB Toronto,Ring,10.28,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Treated,Cooked,FOB Vancouver,Ring,10.06,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Chemical free,Cooked,FOB Toronto,Ring,10.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Chemical free,Cooked,FOB Vancouver,Ring,10.6,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Chemical free,Cooked,DDP Atlanta,Ring,11.09,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Chemical free,Cooked,DDP LA,Ring,10.84,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,8X25.2,19.2+6,Chemical free,Cooked,DDP New York,Ring,10.9,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Chemical free,Cooked,DDP Atlanta,Ring,11.46,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Chemical free,Cooked,DDP LA,Ring,11.21,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Chemical free,Cooked,DDP New York,Ring,11.27,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Chemical free,Cooked,FOB Toronto,Ring,11.18,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,8X25.2,19.2+6,Chemical free,Cooked,FOB Vancouver,Ring,10.96,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X32,24+8,Treated,Cooked,FOB Toronto,Ring,12.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X32,24+8,Treated,Cooked,FOB Vancouver,Ring,11.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X32,24+8,Treated,Cooked,DDP Atlanta,Ring,12.45,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X32,24+8,Treated,Cooked,DDP LA,Ring,12.19,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,41/50,12X32,24+8,Treated,Cooked,DDP New York,Ring,12.26,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,12X32,24+8,Treated,Cooked,DDP Atlanta,Ring,12.81,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,12X32,24+8,Treated,Cooked,DDP LA,Ring,12.55,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,41/50,12X32,24+8,Treated,Cooked,DDP New York,Ring,12.62,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
