standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Sú,31/40,4X36,28+8,Treated,Cooked,DDP LA,Ring,14.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Treated,Cooked,DDP New York,Ring,15.03,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Treated,Cooked,DDP Atlanta,Ring,15.83,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Treated,Cooked,DDP LA,Ring,15.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Treated,Cooked,DDP New York,Ring,15.54,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Treated,Cooked,FOB Toronto,Ring,15.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Treated,Cooked,FOB Vancouver,Ring,15.1,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Chemical free,Cooked,FOB Toronto,Ring,16.15,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Chemical free,Cooked,FOB Vancouver,Ring,15.82,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Chemical free,Cooked,DDP Atlanta,Ring,16.57,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Chemical free,Cooked,DDP LA,Ring,16.17,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,31/40,4X36,28+8,Chemical free,Cooked,DDP New York,Ring,16.28,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Chemical free,Cooked,DDP Atlanta,Ring,17.21,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Chemical free,Cooked,DDP LA,Ring,16.81,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Chemical free,Cooked,DDP New York,Ring,16.92,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,31/40,4X36,28+8,Chemical free,Cooked,FOB Toronto,Ring,16.77,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
