standard_type,standard_size,chemical,processing,cooking,incoterms,price,unit,factory,active_date,week,month,quarter,year,month_number,quarter_number
Sú sinh thái,31/40,Treated,PD,Raw,None,5.3,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,PTO,Cooked,FOB HCM,5.67,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,PTO,Cooked,None,5.86,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,PD,Cooked,FOB HCM,5.4,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,31/40,Treated,PD,Cooked,None,5.58,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,HLSO-O,None,FOB HCM,4.05,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,HLSO-O,None,None,4.19,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PTO,Raw,FOB HCM,4.29,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PTO,Raw,None,4.44,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PD,Raw,FOB HCM,4.5,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PD,Raw,None,4.65,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PTO,Cooked,FOB HCM,5.21,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PTO,Cooked,None,5.38,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PD,Cooked,FOB HCM,4.97,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,41/50,Treated,PD,Cooked,None,5.13,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,HLSO-O,None,FOB HCM,3.93,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,HLSO-O,None,None,4.07,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,PTO,Raw,FOB HCM,4.17,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,PTO,Raw,None,4.31,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,PD,Raw,FOB HCM,4.37,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,PD,Raw,None,4.52,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,51/60,Treated,PTO,Cooked,FOB HCM,4.81,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
